VTune(TM) Performance Analyzer 2.0 for Linux*
Copyright (C) 2000-2003 Intel Corporation. All rights reserved.


[NAME(1)]; [MODULE(2)]; [THREAD(3)]; [CLASS(4)]; [SELF_TIME(5)]; [TOTAL_TIME(6)]; [WAIT_TIME(7)]; [TOTAL_WAIT_TIME(8)]; [#_CALLS(9)]; [#_CALLERS(10)]; [#_CALLEES(11)]; [ADDRESS(12)]; [MANGLED_NAME(13)]; [DISPLAY_NAME(14)]; [PROCESS(15)]; [SOURCE_FILE(16)]; [PID(17)]
__free; /lib/i686/libc.so.6; Thread_4000; ;                  226;                  226;                    0;                    0;                    9; 1; 0; 0x759E0; __free; __free; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; unknown; 26568
_IO_no_init; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                  118;                  118;                    0;                    0;                  600; 1; 0; 0x1DB00; _IO_no_init; _IO_no_init; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; unknown; 26568
decode_motion_vector; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                53125;                53125;                    0;                    0;               853648; 1; 0; 0x63AA; decode_motion_vector; decode_motion_vector; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/motion.c; 26568
Thrd_motion_vectors; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                70278;               993413;                    0;                    0;               237407; 1; 2; 0x6548; Thrd_motion_vectors; Thrd_motion_vectors; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/motion.c; 26568
Thrd_motion_vector; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;               122836;               826866;                    0;                    0;               426824; 1; 3; 0x6646; Thrd_motion_vector; Thrd_motion_vector; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/motion.c; 26568
main; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                   21;              8237175;                    0;                    0;                    1; 1; 13; 0x671C; main; main; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 26568
Initialize_Frame_Buffer; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    0;                    7;                    0;                    0;                    1; 1; 1; 0x6916; Initialize_Frame_Buffer; Initialize_Frame_Buffer; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 26568
Initialize_Decoder; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    6;                   15;                    0;                    0;                    1; 1; 2; 0x692E; Initialize_Decoder; Initialize_Decoder; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 26568
Initialize_Sequence; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    5;                  148;                    0;                    0;                    1; 1; 2; 0x6A5C; Initialize_Sequence; Initialize_Sequence; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 26568
Process_Options; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    4;                    7;                    0;                    0;                    1; 1; 2; 0x6DD0; Process_Options; Process_Options; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 26568
Headers; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                   81;                 2499;                    0;                    0;                  152; 2; 1; 0x710C; Headers; Headers; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 26568
Decode_Bitstream; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    0;              8237074;                    0;                    0;                    1; 1; 2; 0x7166; Decode_Bitstream; Decode_Bitstream; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 26568
Deinitialize_Sequence; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    4;                  230;                    0;                    0;                    1; 1; 1; 0x7186; Deinitialize_Sequence; Deinitialize_Sequence; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 26568
video_sequence; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                  136;              8237038;                    0;                    0;                    1; 1; 5; 0x7202; video_sequence; video_sequence; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 26568
Clear_Options; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    6;                    6;                    0;                    0;                    1; 1; 0; 0x7278; Clear_Options; Clear_Options; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 26568
form_predictions; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                57358;               817273;                    0;                    0;               177656; 1; 1; 0x72F4; form_predictions; form_predictions; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/mpeg2dec.c; 26568
form_prediction; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;               166607;               759915;                    0;                    0;               554574; 1; 2; 0x7A48; form_prediction; form_prediction; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/recon.c; 26568
form_component_prediction; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;               382355;               382355;                    0;                    0;               554574; 1; 0; 0x7C04; form_component_prediction; form_component_prediction; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/recon.c; 26568
form_component_prediction2; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;               210953;               210953;                    0;                    0;              1109148; 1; 0; 0x8214; form_component_prediction2; form_component_prediction2; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/recon.c; 26568
Write_Frame; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                  149;               553708;                    0;                    0;                  150; 2; 2; 0x9A24; Write_Frame; Write_Frame; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/store.c; 26568
store_one; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                   59;               552785;                    0;                    0;                  150; 1; 1; 0x9AFA; store_one; store_one; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/store.c; 26568
store_yuvp; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                  473;               550798;                    0;                    0;                  450; 1; 3; 0x9BBA; store_yuvp; store_yuvp; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/store.c; 26568
store_yuv_progressive; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                  262;               552726;                    0;                    0;                  150; 1; 2; 0x9C64; store_yuv_progressive; store_yuv_progressive; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/store.c; 26568
_IO_str_init_static; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                  273;                  372;                    0;                    0;                  600; 1; 1; 0x1E5D8; _IO_str_init_static; _IO_str_init_static; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; unknown; 26568
__intel_proc_init.H; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 1; 0x122C4; __intel_proc_init.H; __intel_proc_init.H; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; unknown; 26568
__intel_proc_init; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    2; 1; 1; 0x122CE; __intel_proc_init; __intel_proc_init; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; unknown; 26568
__intel_proc_init_ftzdaz; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 1; 0x122F6; __intel_proc_init_ftzdaz; __intel_proc_init_ftzdaz; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; unknown; 26568
has_osfxsr_set; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 4; 0x1238A; has_osfxsr_set; has_osfxsr_set; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; unknown; 26568
__intel_cpu_indicator_init; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    0;                    0;                    0;                    0;                    1; 1; 1; 0x12448; __intel_cpu_indicator_init; __intel_cpu_indicator_init; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; unknown; 26568
__libc_start_main; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                   47;              8237376;                    0;                    0;                    1; 1; 10; 0x125C0; __libc_start_main; __libc_start_main; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; unknown; 26568
__libc_check_standard_fds; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    0;                    1;                    0;                    0;                    1; 1; 1; 0x127F4; __libc_check_standard_fds; __libc_check_standard_fds; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; unknown; 26568
__libc_csu_init; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    4;                   22;                    0;                    0;                    1; 1; 3; 0x12948; __libc_csu_init; __libc_csu_init; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; unknown; 26568
Flush_Buffer32; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                  421;                  480;                    0;                    0;                 4819; 3; 1; 0xB91A; Flush_Buffer32; Flush_Buffer32; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/systems.c; 26568
__libc_csu_fini; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    0;                    2;                    0;                    0;                    1; 1; 1; 0x12954; __libc_csu_fini; __libc_csu_fini; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; unknown; 26568
Get_Bits32; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                   98;                  195;                    0;                    0;                  166; 1; 2; 0xBA02; Get_Bits32; Get_Bits32; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; src/systems.c; 26568
__uselocale; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; Thread_4000; ;                    7;                   18;                    0;                    0;                    1; 1; 2; 0x12960; __uselocale; __uselocale; /home/adve_s/sasanka/alex/release/vtune_code/MPGdec/execs/mpeg2dec_nosse; unknown; 26568
